version,date,static_score,notes
597,2025-01-01,0,baseline - joypad fix - file select functional
598,2025-01-01,0,REGRESSION - D3 clobber in PPU_WRITE_NAMETABLE_BYTE
599,2026-03-25,105,D3 fix + guards + H40 overflow clear; smoke PASS; frontend PASS to script14; gameplay probe reaches script5 via register flow
600,2026-03-25,105,build sanity PASS; smoke PASS; frontend PASS to script14; gameplay probe reaches script5 (entry frame 893); regression gate PASS; gameplay soak x3 PASS
601,2026-03-25,105,build + runtime gate wrapper PASS; smoke PASS; frontend PASS to script14; gameplay probe reaches script5 (entry frame 893); regression gate PASS
602,2026-03-25,105,movement PASS; pause PASS; room transition FAIL trace=3510; phase=transition_failed; debug trace baseline; script3/sub8 stall with trace 3510; accuracy_score regressed: 136 < 156
603,2026-03-25,105,"movement PASS; pause PASS; room transition FAIL trace=3510; phase=transition_failed; ADC carry fix attempt; no movement on transition stall, trace 3510"
604,2026-03-25,105,"movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; deeper sub_A9F4 tracing isolated AA49 loop, trace 3516"
605,2026-03-25,105,"movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; pointer reconstruction transplant in sub_A9F4; no change, trace 3516"
606,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; AA49 telemetry instrumentation regressed interaction path; accuracy_score regressed: 122 < 136
607,2026-03-25,105,movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; AA49 telemetry branch-flags restore via TST.B; interaction core recovered from v606 regression; room transition still stalls in AA49 loop
608,2026-03-25,105,movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; AA49 telemetry width cleanup; seqdbg now zero-extended and confirms AA49 sampling 0x00 from ptr 0x07F6 while transition still stalls
609,2026-03-25,105,movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; probe upgrade packed AA49 lookup index/repeat count and exposed live FF6827/FF6828 base bytes; confirmed overworld high byte was zero at stall
610,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; overworld columns-table high byte sourced from ROM; exposed the remaining mixed-source AA38/AA3D pointer load by regressing before gameplay; accuracy_score regressed: 122 < 136
611,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; v611: interaction path still regressed before gameplay while tracing the mixed-source overworld columns-table load; lost gameplay-entry baseline from v609 (entry=894)
612,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; joy bridge: Genesis A now responsive on console; interaction path still times out after other branch
613,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; joy bridge: D-pad remapped; pad bridge shows B/C plus all D-pad directions landing; interaction path still times out after other branch
614,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; v614: room-columns high-byte source fix plus D4-safe joypad remap; still stalled in script3/sub8 black-screen handoff; lost gameplay-entry baseline from v609 (entry=894)
615,2026-03-25,105,movement FAIL; pause FAIL; room transition FAIL trace=3516; interaction core FAIL; phase=timed_out_after_other_branch; v615: zero-extended room-load pointers in AA2E/AA49 block; still stalled in script3/sub8 black-screen handoff; lost gameplay-entry baseline from v609 (entry=894)
617,2026-03-26,105,"movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; v617: restored startup columns-table high-byte source from live RAM at AB30; gameplay, movement, and pause recovered after fixing the interaction probe release gap; room transition still fails in the AA49 loop"
618,2026-03-26,105,"movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; v618: reverted the v615 zero-extension experiment in the AA2E/AA49/AA59 room-load block; gameplay, movement, and pause still pass, but room transition remains stuck in the AA49 loop"
619,2026-03-26,105,movement PASS; pause PASS; room transition FAIL trace=3516; phase=transition_failed; full columns-table RAM copy; fixed garbage 07F6 -> ROM 9CF6 but sign-extended to FE9CF6
